month,pv_kwh_el,heating_kwh_el,deficit_kwh_el,surplus_kwh_el,direct_overlap_kwh_el,mean_temperature_c,net_balance_kwh_el
2023-01,253.86687510,591.22566937,432.48648808,95.12769381,158.73918129,-1.86645394,-337.35879427
2023-02,348.31491058,501.38780378,337.79183389,184.71894069,163.59596988,-0.65282008,-153.07289320
2023-03,619.02454224,445.38713305,265.76997815,439.40738735,179.61715489,3.03403451,173.63740919
2023-04,898.49470773,276.71852450,145.86277649,767.63895972,130.85574801,8.39171790,621.77618323
2023-05,1210.32194611,122.63922576,65.63662078,1153.31934113,57.00260498,13.91405989,1087.68272035
2023-06,1310.07807379,27.04103119,16.91554675,1299.95258935,10.12548444,18.11906272,1283.03704260
2023-07,1283.92286002,6.46594650,4.62370593,1282.08061945,1.84224057,19.85558569,1277.45691352
2023-08,1034.87110451,20.66299261,15.87160620,1030.07971810,4.79138642,18.63165633,1014.20811190
2023-09,697.86407938,94.77905373,65.77836327,668.86338892,29.00069046,14.81306794,603.08502565
2023-10,450.83876531,255.31359358,171.74274540,367.26791714,83.57084818,9.42091419,195.52517173
2023-11,271.49757902,405.62139859,291.33081062,157.20699105,114.29058797,3.91592366,-134.12381957
2023-12,219.58961902,542.01398498,403.31890142,80.89453546,138.69508356,-0.21283552,-322.42436596
