time,temperature_2m_c,shortwave_radiation_w_m2,source,pv_kwh_el,heating_kwh_th,heating_kwh_el,balance_kwh_el,deficit_kwh_el,surplus_kwh_el,direct_overlap_kwh_el
2023-01-01 00:00:00,-3.93931961,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.63271835,0.87757278,-0.87757278,0.87757278,0.00000000,0.00000000
2023-01-01 01:00:00,-4.33089818,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.67970778,0.89323593,-0.89323593,0.89323593,0.00000000,0.00000000
2023-01-01 02:00:00,-4.53359417,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.70403130,0.90134377,-0.90134377,0.90134377,0.00000000,0.00000000
2023-01-01 03:00:00,-4.53359417,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.70403130,0.90134377,-0.90134377,0.90134377,0.00000000,0.00000000
2023-01-01 04:00:00,-4.33089818,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.67970778,0.89323593,-0.89323593,0.89323593,0.00000000,0.00000000
2023-01-01 05:00:00,-3.93931961,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.63271835,0.87757278,-0.87757278,0.87757278,0.00000000,0.00000000
2023-01-01 06:00:00,-3.38554387,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.56626526,0.85542175,-0.85542175,0.85542175,0.00000000,0.00000000
2023-01-01 07:00:00,-2.70730988,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.48487719,0.82829240,-0.82829240,0.82829240,0.00000000,0.00000000
2023-01-01 08:00:00,-1.95083816,53.14513800,synthetic_cold_temperate_benchmark,0.28698375,2.39410058,0.79803353,-0.51104978,0.51104978,0.00000000,0.28698375
2023-01-01 09:00:00,-1.16768101,143.88607982,synthetic_cold_temperate_benchmark,0.77698483,2.30012172,0.76670724,0.01027759,0.00000000,0.01027759,0.76670724
2023-01-01 10:00:00,-0.41120929,213.13798542,synthetic_cold_temperate_benchmark,1.15094512,2.20934511,0.73644837,0.41449675,0.00000000,0.41449675,0.73644837
2023-01-01 11:00:00,0.26702470,250.55825107,synthetic_cold_temperate_benchmark,1.35301456,2.12795704,0.70931901,0.64369554,0.00000000,0.64369554,0.70931901
2023-01-01 12:00:00,0.82080043,250.55825107,synthetic_cold_temperate_benchmark,1.35301456,2.06150395,0.68716798,0.66584657,0.00000000,0.66584657,0.68716798
2023-01-01 13:00:00,1.21237901,213.13798542,synthetic_cold_temperate_benchmark,1.15094512,2.01451452,0.67150484,0.47944028,0.00000000,0.47944028,0.67150484
2023-01-01 14:00:00,1.41507500,143.88607982,synthetic_cold_temperate_benchmark,0.77698483,1.99019100,0.66339700,0.11358783,0.00000000,0.11358783,0.66339700
2023-01-01 15:00:00,1.41507500,53.14513800,synthetic_cold_temperate_benchmark,0.28698375,1.99019100,0.66339700,-0.37641325,0.37641325,0.00000000,0.28698375
2023-01-01 16:00:00,1.21237901,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.01451452,0.67150484,-0.67150484,0.67150484,0.00000000,0.00000000
2023-01-01 17:00:00,0.82080043,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.06150395,0.68716798,-0.68716798,0.68716798,0.00000000,0.00000000
2023-01-01 18:00:00,0.26702470,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.12795704,0.70931901,-0.70931901,0.70931901,0.00000000,0.00000000
2023-01-01 19:00:00,-0.41120929,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.20934511,0.73644837,-0.73644837,0.73644837,0.00000000,0.00000000
2023-01-01 20:00:00,-1.16768101,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.30012172,0.76670724,-0.76670724,0.76670724,0.00000000,0.00000000
2023-01-01 21:00:00,-1.95083816,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.39410058,0.79803353,-0.79803353,0.79803353,0.00000000,0.00000000
2023-01-01 22:00:00,-2.70730988,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.48487719,0.82829240,-0.82829240,0.82829240,0.00000000,0.00000000
2023-01-01 23:00:00,-3.38554387,0.00000000,synthetic_cold_temperate_benchmark,0.00000000,2.56626526,0.85542175,-0.85542175,0.85542175,0.00000000,0.00000000
