heating_base_temp_c,hlc_w_per_k,heat_pump_cop,pv_area_m2,annual_pv_kwh_el,annual_heating_kwh_th,annual_heating_kwh_el,direct_overlap_kwh_el,direct_pv_coverage_ratio,annual_deficit_kwh_el,annual_surplus_kwh_el,deficit_hour_fraction,surplus_hour_fraction,symmetric_mismatch_index
18.00000000,80.00000000,2.50000000,20.00000000,5732.45670853,6578.51271524,2631.40508610,838.01930494,0.31846838,1793.38578116,4894.43740359,0.52956621,0.44269406,0.79960948
18.00000000,80.00000000,2.50000000,30.00000000,8598.68506279,6578.51271524,2631.40508610,876.80963027,0.33320967,1754.59545583,7721.87543253,0.50958904,0.46267123,0.84384638
18.00000000,80.00000000,2.50000000,40.00000000,11464.91341706,6578.51271524,2631.40508610,899.15388666,0.34170105,1732.25119944,10565.75953040,0.50159817,0.47066210,0.87242713
18.00000000,80.00000000,3.00000000,20.00000000,5732.45670853,6578.51271524,2192.83757175,714.75132043,0.32594814,1478.08625132,5017.70538810,0.51655251,0.45570776,0.81962782
18.00000000,80.00000000,3.00000000,30.00000000,8598.68506279,6578.51271524,2192.83757175,742.76887700,0.33872499,1450.06869475,7855.91618579,0.50422374,0.46803653,0.86234215
18.00000000,80.00000000,3.00000000,40.00000000,11464.91341706,6578.51271524,2192.83757175,759.55166910,0.34637845,1433.28590265,10705.36174796,0.49600457,0.47625571,0.88877354
18.00000000,80.00000000,4.00000000,20.00000000,5732.45670853,6578.51271524,1644.62817881,551.29593004,0.33521007,1093.33224877,5181.16077848,0.50776256,0.46449772,0.85053827
18.00000000,80.00000000,4.00000000,30.00000000,8598.68506279,6578.51271524,1644.62817881,569.66375182,0.34637845,1074.96442699,8029.02131097,0.49600457,0.47625571,0.88877354
18.00000000,80.00000000,4.00000000,40.00000000,11464.91341706,6578.51271524,1644.62817881,578.25762836,0.35160387,1066.37055045,10886.65578870,0.48607306,0.48618721,0.91178065
18.00000000,120.00000000,2.50000000,20.00000000,5732.45670853,9867.76907287,3947.10762915,1162.22783474,0.29445051,2784.87979441,4570.22887379,0.56278539,0.40947489,0.75985947
18.00000000,120.00000000,2.50000000,30.00000000,8598.68506279,9867.76907287,3947.10762915,1257.02895740,0.31846838,2690.07867174,7341.65610539,0.52956621,0.44269406,0.79960948
18.00000000,120.00000000,2.50000000,40.00000000,11464.91341706,9867.76907287,3947.10762915,1300.34039464,0.32944133,2646.76723451,10164.57302242,0.51312785,0.45913242,0.83125634
18.00000000,120.00000000,3.00000000,20.00000000,5732.45670853,9867.76907287,3289.25635762,1008.02224613,0.30645901,2281.23411149,4724.43446240,0.54429224,0.42796804,0.77653418
18.00000000,120.00000000,3.00000000,30.00000000,8598.68506279,9867.76907287,3289.25635762,1072.12698064,0.32594814,2217.12937698,7526.55808215,0.51655251,0.45570776,0.81962782
18.00000000,120.00000000,3.00000000,40.00000000,11464.91341706,9867.76907287,3289.25635762,1102.59186009,0.33521007,2186.66449754,10362.32155697,0.50776256,0.46449772,0.85053827
18.00000000,120.00000000,4.00000000,20.00000000,5732.45670853,9867.76907287,2466.94226822,792.72835423,0.32134046,1674.21391399,4939.72835430,0.52420091,0.44805936,0.80663745
18.00000000,120.00000000,4.00000000,30.00000000,8598.68506279,9867.76907287,2466.94226822,826.94389507,0.33521007,1639.99837315,7771.74116773,0.50776256,0.46449772,0.85053827
18.00000000,120.00000000,4.00000000,40.00000000,11464.91341706,9867.76907287,2466.94226822,847.22454704,0.34343104,1619.71772117,10617.68887001,0.49965753,0.47260274,0.87837592
18.00000000,160.00000000,2.50000000,20.00000000,5732.45670853,13157.02543049,5262.81017220,1405.70000824,0.26710065,3857.11016395,4326.75670029,0.60171233,0.37054795,0.74430816
18.00000000,160.00000000,2.50000000,30.00000000,8598.68506279,13157.02543049,5262.81017220,1592.52678390,0.30260008,3670.28338829,7006.15827889,0.54988584,0.42237443,0.77022294
18.00000000,160.00000000,2.50000000,40.00000000,11464.91341706,13157.02543049,5262.81017220,1676.03860987,0.31846838,3586.77156232,9788.87480719,0.52956621,0.44269406,0.79960948
18.00000000,160.00000000,3.00000000,20.00000000,5732.45670853,13157.02543049,4385.67514350,1253.55917973,0.28583038,3132.11596377,4478.89752880,0.57808219,0.39417808,0.75221529
18.00000000,160.00000000,3.00000000,30.00000000,8598.68506279,13157.02543049,4385.67514350,1373.00183747,0.31306510,3012.67330602,7225.68322532,0.53687215,0.43538813,0.78851452
18.00000000,160.00000000,3.00000000,40.00000000,11464.91341706,13157.02543049,4385.67514350,1429.50264086,0.32594814,2956.17250264,10035.41077620,0.51655251,0.45570776,0.81962782
18.00000000,160.00000000,4.00000000,20.00000000,5732.45670853,13157.02543049,3289.25635762,1008.02224613,0.30645901,2281.23411149,4724.43446240,0.54429224,0.42796804,0.77653418
18.00000000,160.00000000,4.00000000,30.00000000,8598.68506279,13157.02543049,3289.25635762,1072.12698064,0.32594814,2217.12937698,7526.55808215,0.51655251,0.45570776,0.81962782
18.00000000,160.00000000,4.00000000,40.00000000,11464.91341706,13157.02543049,3289.25635762,1102.59186009,0.33521007,2186.66449754,10362.32155697,0.50776256,0.46449772,0.85053827
20.00000000,80.00000000,2.50000000,20.00000000,5732.45670853,7801.59624325,3120.63849730,1019.77103325,0.32678282,2100.86746405,4712.68567528,0.56335616,0.43162100,0.76962384
20.00000000,80.00000000,2.50000000,30.00000000,8598.68506279,7801.59624325,3120.63849730,1071.40024034,0.34332725,2049.23825696,7527.28482245,0.53812785,0.45684932,0.81715664
20.00000000,80.00000000,2.50000000,40.00000000,11464.91341706,7801.59624325,3120.63849730,1098.60322149,0.35204437,2022.03527581,10366.31019557,0.52888128,0.46609589,0.84935733
20.00000000,80.00000000,3.00000000,20.00000000,5732.45670853,7801.59624325,2600.53208108,872.45139601,0.33548957,1728.08068507,4860.00531251,0.54931507,0.44566210,0.79060301
20.00000000,80.00000000,3.00000000,30.00000000,8598.68506279,7801.59624325,2600.53208108,907.51640325,0.34897335,1693.01567783,7691.16865954,0.53219178,0.46278539,0.83793217
