month,pv_kwh_el,heating_kwh_el,deficit_kwh_el,surplus_kwh_el,direct_overlap_kwh_el,mean_temperature_c,net_balance_kwh_el
2001-01,282.71160000,619.73600000,440.64800000,103.62360000,179.08800000,-2.82446237,-337.02440000
2001-02,402.85080000,508.32400000,326.53740000,221.06420000,181.78660000,-0.91086310,-105.47320000
2001-03,562.99860000,382.41200000,235.80380000,416.39040000,146.60820000,5.15013441,180.58660000
2001-04,606.57660000,214.27200000,125.20520000,517.50980000,89.06680000,10.65625000,392.30460000
2001-05,786.22380000,83.96400000,48.14600000,750.40580000,35.81800000,16.61370968,702.25980000
2001-06,1031.28660000,27.13600000,14.54000000,1018.69060000,12.59600000,21.38583333,1004.15060000
2001-07,989.94420000,2.13200000,1.41200000,989.22420000,0.72000000,25.59784946,987.81220000
2001-08,851.68260000,2.22400000,1.10400000,850.56260000,1.12000000,25.38857527,849.45860000
2001-09,729.31860000,16.50800000,11.06000000,723.87060000,5.44800000,21.54680556,712.81060000
2001-10,563.87880000,133.60400000,93.51280000,523.78760000,40.09120000,14.54516129,430.27480000
2001-11,383.95080000,336.65600000,232.18820000,279.48300000,104.46780000,6.31291667,47.29480000
2001-12,274.70880000,546.42400000,385.22760000,113.51240000,161.19640000,-0.36102151,-271.71520000
