heating_base_temp_c,hlc_w_per_k,heat_pump_cop,pv_area_m2,annual_pv_kwh_el,annual_heating_kwh_th,annual_heating_kwh_el,direct_overlap_kwh_el,direct_pv_coverage_ratio,annual_deficit_kwh_el,annual_surplus_kwh_el,deficit_hour_fraction,surplus_hour_fraction,symmetric_mismatch_index
18.00000000,80.00000000,2.50000000,20.00000000,4977.42120000,5746.78400000,2298.71360000,742.26840000,0.32290599,1556.44520000,4235.15280000,0.43390411,0.43127854,0.79597178
18.00000000,80.00000000,2.50000000,30.00000000,7466.13180000,5746.78400000,2298.71360000,791.20920000,0.34419651,1507.50440000,6674.92260000,0.41381279,0.45136986,0.83794742
18.00000000,80.00000000,2.50000000,40.00000000,9954.84240000,5746.78400000,2298.71360000,817.86480000,0.35579239,1480.84880000,9136.97760000,0.40228311,0.46289954,0.86650980
18.00000000,80.00000000,3.00000000,20.00000000,4977.42120000,5746.78400000,1915.59466667,638.67133333,0.33340630,1276.92333333,4338.74986667,0.42294521,0.44223744,0.81469031
18.00000000,80.00000000,3.00000000,30.00000000,7466.13180000,5746.78400000,1915.59466667,674.09126667,0.35189661,1241.50340000,6792.04053333,0.40742009,0.45776256,0.85629697
18.00000000,80.00000000,3.00000000,40.00000000,9954.84240000,5746.78400000,1915.59466667,691.98640000,0.36123842,1223.60826667,9262.85600000,0.39668950,0.46826484,0.88341012
18.00000000,80.00000000,4.00000000,20.00000000,4977.42120000,5746.78400000,1436.69600000,498.57240000,0.34702707,938.12360000,4478.84880000,0.41061644,0.45445205,0.84453904
18.00000000,80.00000000,4.00000000,30.00000000,7466.13180000,5746.78400000,1436.69600000,518.98980000,0.36123842,917.70620000,6947.14200000,0.39668950,0.46826484,0.88341012
18.00000000,80.00000000,4.00000000,40.00000000,9954.84240000,5746.78400000,1436.69600000,528.39360000,0.36778386,908.30240000,9426.44880000,0.39086758,0.47420091,0.90723051
18.00000000,120.00000000,2.50000000,20.00000000,4977.42120000,8620.17600000,3448.07040000,1001.18520000,0.29036101,2446.88520000,3976.23600000,0.46815068,0.39703196,0.76234379
18.00000000,120.00000000,2.50000000,30.00000000,7466.13180000,8620.17600000,3448.07040000,1113.40260000,0.32290599,2334.66780000,6352.72920000,0.43378995,0.43127854,0.79597178
18.00000000,120.00000000,2.50000000,40.00000000,9954.84240000,8620.17600000,3448.07040000,1167.86640000,0.33870144,2280.20400000,8786.97600000,0.41849315,0.44646119,0.82572946
18.00000000,120.00000000,3.00000000,20.00000000,4977.42120000,8620.17600000,2873.39200000,882.15520000,0.30700830,1991.23680000,4095.26600000,0.45114155,0.41404110,0.77527036
18.00000000,120.00000000,3.00000000,30.00000000,7466.13180000,8620.17600000,2873.39200000,958.00700000,0.33340630,1915.38500000,6508.12480000,0.42294521,0.44223744,0.81469031
18.00000000,120.00000000,3.00000000,40.00000000,9954.84240000,8620.17600000,2873.39200000,997.14480000,0.34702707,1876.24720000,8957.69760000,0.41061644,0.45456621,0.84453904
18.00000000,120.00000000,4.00000000,20.00000000,4977.42120000,8620.17600000,2155.04400000,704.33700000,0.32683184,1450.70700000,4273.08420000,0.42956621,0.43561644,0.80249830
18.00000000,120.00000000,4.00000000,30.00000000,7466.13180000,8620.17600000,2155.04400000,747.85860000,0.34702707,1407.18540000,6718.27320000,0.41061644,0.45445205,0.84453904
18.00000000,120.00000000,4.00000000,40.00000000,9954.84240000,8620.17600000,2155.04400000,771.26820000,0.35788977,1383.77580000,9183.57420000,0.40022831,0.46495434,0.87262173
18.00000000,160.00000000,2.50000000,20.00000000,4977.42120000,11493.56800000,4597.42720000,1188.56600000,0.25852851,3408.86120000,3788.85520000,0.49634703,0.36872146,0.75173163
18.00000000,160.00000000,2.50000000,30.00000000,7466.13180000,11493.56800000,4597.42720000,1386.44700000,0.30157019,3210.98020000,6079.68480000,0.45753425,0.40753425,0.77014296
18.00000000,160.00000000,2.50000000,40.00000000,9954.84240000,11493.56800000,4597.42720000,1484.53680000,0.32290599,3112.89040000,8470.30560000,0.43390411,0.43127854,0.79597178
18.00000000,160.00000000,3.00000000,20.00000000,4977.42120000,11493.56800000,3831.18933333,1070.49520000,0.27941590,2760.69413333,3906.92600000,0.47773973,0.38732877,0.75694346
18.00000000,160.00000000,3.00000000,30.00000000,7466.13180000,11493.56800000,3831.18933333,1210.53660000,0.31596888,2620.65273333,6255.59520000,0.44052511,0.42465753,0.78569493
18.00000000,160.00000000,3.00000000,40.00000000,9954.84240000,11493.56800000,3831.18933333,1277.34266667,0.33340630,2553.84666667,8677.49973333,0.42294521,0.44223744,0.81469031
18.00000000,160.00000000,4.00000000,20.00000000,4977.42120000,11493.56800000,2873.39200000,882.15520000,0.30700830,1991.23680000,4095.26600000,0.45114155,0.41404110,0.77527036
