time,temperature_2m_c,shortwave_radiation_w_m2,source,pv_kwh_el,heating_kwh_th,heating_kwh_el,balance_kwh_el,deficit_kwh_el,surplus_kwh_el,direct_overlap_kwh_el
2001-01-01 00:00:00,-3.70000000,0.00000000,energyplus_epw,0.00000000,2.60400000,0.86800000,-0.86800000,0.86800000,0.00000000,0.00000000
2001-01-01 01:00:00,-3.70000000,0.00000000,energyplus_epw,0.00000000,2.60400000,0.86800000,-0.86800000,0.86800000,0.00000000,0.00000000
2001-01-01 02:00:00,-3.70000000,0.00000000,energyplus_epw,0.00000000,2.60400000,0.86800000,-0.86800000,0.86800000,0.00000000,0.00000000
2001-01-01 03:00:00,-4.00000000,0.00000000,energyplus_epw,0.00000000,2.64000000,0.88000000,-0.88000000,0.88000000,0.00000000,0.00000000
2001-01-01 04:00:00,-3.30000000,0.00000000,energyplus_epw,0.00000000,2.55600000,0.85200000,-0.85200000,0.85200000,0.00000000,0.00000000
2001-01-01 05:00:00,-2.90000000,0.00000000,energyplus_epw,0.00000000,2.50800000,0.83600000,-0.83600000,0.83600000,0.00000000,0.00000000
2001-01-01 06:00:00,-2.30000000,0.00000000,energyplus_epw,0.00000000,2.43600000,0.81200000,-0.81200000,0.81200000,0.00000000,0.00000000
2001-01-01 07:00:00,-2.10000000,17.00000000,energyplus_epw,0.09180000,2.41200000,0.80400000,-0.71220000,0.71220000,0.00000000,0.09180000
2001-01-01 08:00:00,-1.60000000,97.00000000,energyplus_epw,0.52380000,2.35200000,0.78400000,-0.26020000,0.26020000,0.00000000,0.52380000
2001-01-01 09:00:00,-1.00000000,177.00000000,energyplus_epw,0.95580000,2.28000000,0.76000000,0.19580000,0.00000000,0.19580000,0.76000000
2001-01-01 10:00:00,0.20000000,239.00000000,energyplus_epw,1.29060000,2.13600000,0.71200000,0.57860000,0.00000000,0.57860000,0.71200000
2001-01-01 11:00:00,1.30000000,271.00000000,energyplus_epw,1.46340000,2.00400000,0.66800000,0.79540000,0.00000000,0.79540000,0.66800000
2001-01-01 12:00:00,2.20000000,265.00000000,energyplus_epw,1.43100000,1.89600000,0.63200000,0.79900000,0.00000000,0.79900000,0.63200000
2001-01-01 13:00:00,3.00000000,224.00000000,energyplus_epw,1.20960000,1.80000000,0.60000000,0.60960000,0.00000000,0.60960000,0.60000000
2001-01-01 14:00:00,3.50000000,157.00000000,energyplus_epw,0.84780000,1.74000000,0.58000000,0.26780000,0.00000000,0.26780000,0.58000000
2001-01-01 15:00:00,3.60000000,81.00000000,energyplus_epw,0.43740000,1.72800000,0.57600000,-0.13860000,0.13860000,0.00000000,0.43740000
2001-01-01 16:00:00,2.60000000,10.00000000,energyplus_epw,0.05400000,1.84800000,0.61600000,-0.56200000,0.56200000,0.00000000,0.05400000
2001-01-01 17:00:00,1.80000000,0.00000000,energyplus_epw,0.00000000,1.94400000,0.64800000,-0.64800000,0.64800000,0.00000000,0.00000000
2001-01-01 18:00:00,1.10000000,0.00000000,energyplus_epw,0.00000000,2.02800000,0.67600000,-0.67600000,0.67600000,0.00000000,0.00000000
2001-01-01 19:00:00,1.00000000,0.00000000,energyplus_epw,0.00000000,2.04000000,0.68000000,-0.68000000,0.68000000,0.00000000,0.00000000
2001-01-01 20:00:00,0.70000000,0.00000000,energyplus_epw,0.00000000,2.07600000,0.69200000,-0.69200000,0.69200000,0.00000000,0.00000000
2001-01-01 21:00:00,0.20000000,0.00000000,energyplus_epw,0.00000000,2.13600000,0.71200000,-0.71200000,0.71200000,0.00000000,0.00000000
2001-01-01 22:00:00,-0.90000000,0.00000000,energyplus_epw,0.00000000,2.26800000,0.75600000,-0.75600000,0.75600000,0.00000000,0.00000000
2001-01-01 23:00:00,-1.80000000,0.00000000,energyplus_epw,0.00000000,2.37600000,0.79200000,-0.79200000,0.79200000,0.00000000,0.00000000
2001-01-02 00:00:00,-2.60000000,0.00000000,energyplus_epw,0.00000000,2.47200000,0.82400000,-0.82400000,0.82400000,0.00000000,0.00000000
2001-01-02 01:00:00,-2.70000000,0.00000000,energyplus_epw,0.00000000,2.48400000,0.82800000,-0.82800000,0.82800000,0.00000000,0.00000000
2001-01-02 02:00:00,-3.20000000,0.00000000,energyplus_epw,0.00000000,2.54400000,0.84800000,-0.84800000,0.84800000,0.00000000,0.00000000
2001-01-02 03:00:00,-3.60000000,0.00000000,energyplus_epw,0.00000000,2.59200000,0.86400000,-0.86400000,0.86400000,0.00000000,0.00000000
2001-01-02 04:00:00,-4.50000000,0.00000000,energyplus_epw,0.00000000,2.70000000,0.90000000,-0.90000000,0.90000000,0.00000000,0.00000000
2001-01-02 05:00:00,-4.90000000,0.00000000,energyplus_epw,0.00000000,2.74800000,0.91600000,-0.91600000,0.91600000,0.00000000,0.00000000
2001-01-02 06:00:00,-5.00000000,0.00000000,energyplus_epw,0.00000000,2.76000000,0.92000000,-0.92000000,0.92000000,0.00000000,0.00000000
2001-01-02 07:00:00,-4.20000000,16.00000000,energyplus_epw,0.08640000,2.66400000,0.88800000,-0.80160000,0.80160000,0.00000000,0.08640000
2001-01-02 08:00:00,-3.30000000,97.00000000,energyplus_epw,0.52380000,2.55600000,0.85200000,-0.32820000,0.32820000,0.00000000,0.52380000
2001-01-02 09:00:00,-2.20000000,177.00000000,energyplus_epw,0.95580000,2.42400000,0.80800000,0.14780000,0.00000000,0.14780000,0.80800000
2001-01-02 10:00:00,-0.40000000,239.00000000,energyplus_epw,1.29060000,2.20800000,0.73600000,0.55460000,0.00000000,0.55460000,0.73600000
2001-01-02 11:00:00,1.00000000,271.00000000,energyplus_epw,1.46340000,2.04000000,0.68000000,0.78340000,0.00000000,0.78340000,0.68000000
2001-01-02 12:00:00,2.20000000,266.00000000,energyplus_epw,1.43640000,1.89600000,0.63200000,0.80440000,0.00000000,0.80440000,0.63200000
2001-01-02 13:00:00,3.20000000,225.00000000,energyplus_epw,1.21500000,1.77600000,0.59200000,0.62300000,0.00000000,0.62300000,0.59200000
2001-01-02 14:00:00,3.70000000,158.00000000,energyplus_epw,0.85320000,1.71600000,0.57200000,0.28120000,0.00000000,0.28120000,0.57200000
2001-01-02 15:00:00,3.60000000,82.00000000,energyplus_epw,0.44280000,1.72800000,0.57600000,-0.13320000,0.13320000,0.00000000,0.44280000
2001-01-02 16:00:00,1.80000000,11.00000000,energyplus_epw,0.05940000,1.94400000,0.64800000,-0.58860000,0.58860000,0.00000000,0.05940000
2001-01-02 17:00:00,0.30000000,0.00000000,energyplus_epw,0.00000000,2.12400000,0.70800000,-0.70800000,0.70800000,0.00000000,0.00000000
2001-01-02 18:00:00,-1.00000000,0.00000000,energyplus_epw,0.00000000,2.28000000,0.76000000,-0.76000000,0.76000000,0.00000000,0.00000000
2001-01-02 19:00:00,-2.20000000,0.00000000,energyplus_epw,0.00000000,2.42400000,0.80800000,-0.80800000,0.80800000,0.00000000,0.00000000
2001-01-02 20:00:00,-3.10000000,0.00000000,energyplus_epw,0.00000000,2.53200000,0.84400000,-0.84400000,0.84400000,0.00000000,0.00000000
2001-01-02 21:00:00,-3.70000000,0.00000000,energyplus_epw,0.00000000,2.60400000,0.86800000,-0.86800000,0.86800000,0.00000000,0.00000000
2001-01-02 22:00:00,-3.90000000,0.00000000,energyplus_epw,0.00000000,2.62800000,0.87600000,-0.87600000,0.87600000,0.00000000,0.00000000
2001-01-02 23:00:00,-4.00000000,0.00000000,energyplus_epw,0.00000000,2.64000000,0.88000000,-0.88000000,0.88000000,0.00000000,0.00000000
2001-01-03 00:00:00,-4.20000000,0.00000000,energyplus_epw,0.00000000,2.66400000,0.88800000,-0.88800000,0.88800000,0.00000000,0.00000000
2001-01-03 01:00:00,-4.20000000,0.00000000,energyplus_epw,0.00000000,2.66400000,0.88800000,-0.88800000,0.88800000,0.00000000,0.00000000
2001-01-03 02:00:00,-4.40000000,0.00000000,energyplus_epw,0.00000000,2.68800000,0.89600000,-0.89600000,0.89600000,0.00000000,0.00000000
2001-01-03 03:00:00,-4.50000000,0.00000000,energyplus_epw,0.00000000,2.70000000,0.90000000,-0.90000000,0.90000000,0.00000000,0.00000000
2001-01-03 04:00:00,-5.00000000,0.00000000,energyplus_epw,0.00000000,2.76000000,0.92000000,-0.92000000,0.92000000,0.00000000,0.00000000
2001-01-03 05:00:00,-5.20000000,0.00000000,energyplus_epw,0.00000000,2.78400000,0.92800000,-0.92800000,0.92800000,0.00000000,0.00000000
2001-01-03 06:00:00,-5.00000000,0.00000000,energyplus_epw,0.00000000,2.76000000,0.92000000,-0.92000000,0.92000000,0.00000000,0.00000000
